# Renewables.ninja Wind power (Point API) - 41.404, -94.261 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Chicago, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Chicago", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": "true", "header": "true", "lat": "41.404231", "lon": "-94.261358", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "height": "95", "turbine": "Vestas V110 2000", "raw": "true"}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 18:00,0.972,13.295
2019-01-01 01:00,2018-12-31 19:00,0.973,13.859
2019-01-01 02:00,2018-12-31 20:00,0.973,13.817
2019-01-01 03:00,2018-12-31 21:00,0.965,12.621
2019-01-01 04:00,2018-12-31 22:00,0.936,11.464
2019-01-01 05:00,2018-12-31 23:00,0.925,11.157
2019-01-01 06:00,2019-01-01 00:00,0.918,11.001
2019-01-01 07:00,2019-01-01 01:00,0.908,10.786
2019-01-01 08:00,2019-01-01 02:00,0.865,10.059
2019-01-01 09:00,2019-01-01 03:00,0.817,9.456
2019-01-01 10:00,2019-01-01 04:00,0.795,9.231
2019-01-01 11:00,2019-01-01 05:00,0.776,9.044
2019-01-01 12:00,2019-01-01 06:00,0.728,8.623
2019-01-01 13:00,2019-01-01 07:00,0.645,7.991
2019-01-01 14:00,2019-01-01 08:00,0.515,7.141
2019-01-01 15:00,2019-01-01 09:00,0.370,6.241
2019-01-01 16:00,2019-01-01 10:00,0.255,5.455
2019-01-01 17:00,2019-01-01 11:00,0.194,4.979
2019-01-01 18:00,2019-01-01 12:00,0.180,4.857
2019-01-01 19:00,2019-01-01 13:00,0.161,4.676
2019-01-01 20:00,2019-01-01 14:00,0.110,4.127
2019-01-01 21:00,2019-01-01 15:00,0.057,3.394
2019-01-01 22:00,2019-01-01 16:00,0.032,2.886
2019-01-01 23:00,2019-01-01 17:00,0.018,2.485
2019-01-02 00:00,2019-01-01 18:00,0.010,2.163
2019-01-02 01:00,2019-01-01 19:00,0.004,1.809
2019-01-02 02:00,2019-01-01 20:00,0.001,1.292
2019-01-02 03:00,2019-01-01 21:00,0.002,1.591
2019-01-02 04:00,2019-01-01 22:00,0.009,2.137
2019-01-02 05:00,2019-01-01 23:00,0.030,2.845
2019-01-02 06:00,2019-01-02 00:00,0.114,4.188
2019-01-02 07:00,2019-01-02 01:00,0.278,5.631
2019-01-02 08:00,2019-01-02 02:00,0.391,6.376
2019-01-02 09:00,2019-01-02 03:00,0.419,6.556
2019-01-02 10:00,2019-01-02 04:00,0.491,6.994
2019-01-02 11:00,2019-01-02 05:00,0.598,7.683
2019-01-02 12:00,2019-01-02 06:00,0.715,8.514
2019-01-02 13:00,2019-01-02 07:00,0.783,9.110
2019-01-02 14:00,2019-01-02 08:00,0.787,9.147
2019-01-02 15:00,2019-01-02 09:00,0.825,9.553
2019-01-02 16:00,2019-01-02 10:00,0.901,10.648
2019-01-02 17:00,2019-01-02 11:00,0.914,10.909
2019-01-02 18:00,2019-01-02 12:00,0.907,10.757
2019-01-02 19:00,2019-01-02 13:00,0.869,10.131
2019-01-02 20:00,2019-01-02 14:00,0.817,9.464
2019-01-02 21:00,2019-01-02 15:00,0.717,8.536
2019-01-02 22:00,2019-01-02 16:00,0.753,8.827
2019-01-02 23:00,2019-01-02 17:00,0.877,10.241
2019-01-03 00:00,2019-01-02 18:00,0.902,10.671
2019-01-03 01:00,2019-01-02 19:00,0.903,10.696
2019-01-03 02:00,2019-01-02 20:00,0.896,10.567
2019-01-03 03:00,2019-01-02 21:00,0.886,10.384
2019-01-03 04:00,2019-01-02 22:00,0.875,10.204
2019-01-03 05:00,2019-01-02 23:00,0.865,10.070
2019-01-03 06:00,2019-01-03 00:00,0.858,9.960
2019-01-03 07:00,2019-01-03 01:00,0.837,9.697
2019-01-03 08:00,2019-01-03 02:00,0.804,9.323
2019-01-03 09:00,2019-01-03 03:00,0.756,8.864
2019-01-03 10:00,2019-01-03 04:00,0.680,8.241
2019-01-03 11:00,2019-01-03 05:00,0.622,7.830
2019-01-03 12:00,2019-01-03 06:00,0.636,7.937
2019-01-03 13:00,2019-01-03 07:00,0.685,8.285
2019-01-03 14:00,2019-01-03 08:00,0.674,8.207
2019-01-03 15:00,2019-01-03 09:00,0.544,7.325
2019-01-03 16:00,2019-01-03 10:00,0.475,6.904
2019-01-03 17:00,2019-01-03 11:00,0.444,6.705
2019-01-03 18:00,2019-01-03 12:00,0.390,6.367
2019-01-03 19:00,2019-01-03 13:00,0.409,6.484
2019-01-03 20:00,2019-01-03 14:00,0.545,7.335
2019-01-03 21:00,2019-01-03 15:00,0.825,9.553
2019-01-03 22:00,2019-01-03 16:00,0.949,11.882
2019-01-03 23:00,2019-01-03 17:00,0.967,12.778
2019-01-04 00:00,2019-01-03 18:00,0.965,12.629
2019-01-04 01:00,2019-01-03 19:00,0.960,12.358
2019-01-04 02:00,2019-01-03 20:00,0.957,12.206
2019-01-04 03:00,2019-01-03 21:00,0.950,11.929
2019-01-04 04:00,2019-01-03 22:00,0.927,11.213
2019-01-04 05:00,2019-01-03 23:00,0.890,10.457
2019-01-04 06:00,2019-01-04 00:00,0.859,9.980
2019-01-04 07:00,2019-01-04 01:00,0.832,9.634
2019-01-04 08:00,2019-01-04 02:00,0.812,9.401
2019-01-04 09:00,2019-01-04 03:00,0.788,9.159
2019-01-04 10:00,2019-01-04 04:00,0.764,8.936
2019-01-04 11:00,2019-01-04 05:00,0.735,8.669
2019-01-04 12:00,2019-01-04 06:00,0.688,8.304
2019-01-04 13:00,2019-01-04 07:00,0.635,7.923
2019-01-04 14:00,2019-01-04 08:00,0.499,7.054
2019-01-04 15:00,2019-01-04 09:00,0.221,5.195
2019-01-04 16:00,2019-01-04 10:00,0.106,4.095
2019-01-04 17:00,2019-01-04 11:00,0.083,3.797
2019-01-04 18:00,2019-01-04 12:00,0.104,4.068
2019-01-04 19:00,2019-01-04 13:00,0.152,4.598
2019-01-04 20:00,2019-01-04 14:00,0.202,5.039
2019-01-04 21:00,2019-01-04 15:00,0.332,6.000
2019-01-04 22:00,2019-01-04 16:00,0.516,7.149
2019-01-04 23:00,2019-01-04 17:00,0.658,8.091
2019-01-05 00:00,2019-01-04 18:00,0.715,8.508
2019-01-05 01:00,2019-01-04 19:00,0.735,8.682
2019-01-05 02:00,2019-01-04 20:00,0.769,8.982
2019-01-05 03:00,2019-01-04 21:00,0.825,9.555
2019-01-05 04:00,2019-01-04 22:00,0.858,9.973
2019-01-05 05:00,2019-01-04 23:00,0.868,10.102
2019-01-05 06:00,2019-01-05 00:00,0.867,10.083
2019-01-05 07:00,2019-01-05 01:00,0.857,9.952
2019-01-05 08:00,2019-01-05 02:00,0.847,9.822
2019-01-05 09:00,2019-01-05 03:00,0.834,9.657
2019-01-05 10:00,2019-01-05 04:00,0.814,9.424
2019-01-05 11:00,2019-01-05 05:00,0.777,9.046
2019-01-05 12:00,2019-01-05 06:00,0.739,8.715
2019-01-05 13:00,2019-01-05 07:00,0.698,8.385
2019-01-05 14:00,2019-01-05 08:00,0.625,7.855
2019-01-05 15:00,2019-01-05 09:00,0.367,6.224
2019-01-05 16:00,2019-01-05 10:00,0.156,4.625
2019-01-05 17:00,2019-01-05 11:00,0.104,4.065
2019-01-05 18:00,2019-01-05 12:00,0.090,3.877
2019-01-05 19:00,2019-01-05 13:00,0.075,3.684
2019-01-05 20:00,2019-01-05 14:00,0.076,3.692
2019-01-05 21:00,2019-01-05 15:00,0.138,4.456
2019-01-05 22:00,2019-01-05 16:00,0.213,5.137
2019-01-05 23:00,2019-01-05 17:00,0.290,5.716
2019-01-06 00:00,2019-01-05 18:00,0.272,5.587
2019-01-06 01:00,2019-01-05 19:00,0.236,5.315
2019-01-06 02:00,2019-01-05 20:00,0.362,6.198
2019-01-06 03:00,2019-01-05 21:00,0.559,7.418
2019-01-06 04:00,2019-01-05 22:00,0.665,8.140
2019-01-06 05:00,2019-01-05 23:00,0.639,7.959
2019-01-06 06:00,2019-01-06 00:00,0.534,7.264
2019-01-06 07:00,2019-01-06 01:00,0.445,6.712
2019-01-06 08:00,2019-01-06 02:00,0.410,6.490
2019-01-06 09:00,2019-01-06 03:00,0.412,6.513
2019-01-06 10:00,2019-01-06 04:00,0.458,6.801
2019-01-06 11:00,2019-01-06 05:00,0.555,7.393
2019-01-06 12:00,2019-01-06 06:00,0.654,8.062
2019-01-06 13:00,2019-01-06 07:00,0.706,8.448
2019-01-06 14:00,2019-01-06 08:00,0.839,9.714
2019-01-06 15:00,2019-01-06 09:00,0.886,10.384
2019-01-06 16:00,2019-01-06 10:00,0.882,10.317
2019-01-06 17:00,2019-01-06 11:00,0.943,11.661
2019-01-06 18:00,2019-01-06 12:00,0.953,12.037
2019-01-06 19:00,2019-01-06 13:00,0.963,12.529
2019-01-06 20:00,2019-01-06 14:00,0.973,13.494
2019-01-06 21:00,2019-01-06 15:00,0.960,14.777
2019-01-06 22:00,2019-01-06 16:00,0.923,15.814
2019-01-06 23:00,2019-01-06 17:00,0.899,16.248
2019-01-07 00:00,2019-01-06 18:00,0.963,14.651
2019-01-07 01:00,2019-01-06 19:00,0.969,12.945
2019-01-07 02:00,2019-01-06 20:00,0.953,12.033
